time_key,分时_MA3,分时_MA5,VWAP,分时趋势结构,上下影线结构,分时量能趋势,成交金额趋势,涨跌幅强度,现价,换手率,昨收,成交量,成交额,昨日最高,昨日最低,反抽次数,OPEN强度,高点结构,早盘低点,托单压单,买一量,卖一量,score
2025-12-09 11:16:00,22.29,22.284,19.849,下降,正常,平量,流出,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 11:17:00,22.237,22.26,19.85,下降,正常,平量,流出,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 11:18:00,22.237,22.266,19.85,震荡,正常,缩量(无量上冲),流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 11:19:00,22.227,22.244,19.85,震荡,正常,平量,流出,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 11:20:00,22.24,22.228,19.851,下降,正常,平量,流出,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 11:21:00,22.22,22.224,19.851,震荡,正常,平量(无量上冲),流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 11:22:00,22.227,22.238,19.851,弱上升,长下影(承接),平量(无量上冲),流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 11:23:00,22.213,22.214,19.852,震荡,正常,平量,流出,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 11:24:00,22.197,22.206,19.853,下降,正常,平量(无量上冲),流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 11:25:00,22.18,22.202,19.853,震荡,正常,平量(无量上冲),流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 11:26:00,22.193,22.198,19.853,震荡,正常,平量(无量上冲),流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 11:27:00,22.203,22.192,19.853,震荡,正常,平量(无量上冲),流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 11:28:00,22.217,22.204,19.854,弱上升,正常,平量,流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 11:29:00,22.26,22.236,19.855,强上升,正常,平量,流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 11:30:00,22.297,22.262,19.855,强上升,正常,平量,流出,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
